chunk_size,overlap,avg_time,avg_faithfulness,avg_relevancy
128,0.1,0.4377552162517201,0.9786096256684492,0.9037433155080213
128,0.2,0.4313582978784082,0.983957219251337,0.9064171122994652
128,0.3,0.43012709987354786,0.9919786096256684,0.8850267379679144
128,0.4,0.504324978685634,0.9812834224598931,0.9064171122994652
128,0.5,0.452049697784179,0.9866310160427807,0.9010695187165776
256,0.1,0.5313921114977669,0.9946524064171123,0.9973262032085561
256,0.2,0.5101069428704001,0.9946524064171123,0.9893048128342246
256,0.3,0.5137047193904611,0.9893048128342246,0.9946524064171123
256,0.4,0.5166235276084533,0.9973262032085561,0.9919786096256684
256,0.5,0.5165929660440128,0.9919786096256684,0.983957219251337
512,0.1,0.5462649665414331,0.9946524064171123,0.983957219251337
512,0.2,0.5490800900892778,0.9973262032085561,0.9919786096256684
512,0.3,0.5400594077645776,0.9973262032085561,0.9866310160427807
512,0.4,0.5400178617334621,0.9973262032085561,0.9919786096256684
512,0.5,0.538837471110298,0.9919786096256684,0.9893048128342246
1024,0.1,0.5364293746132264,0.9946524064171123,0.9812834224598931
1024,0.2,0.5374730621429689,0.9973262032085561,0.983957219251337
1024,0.3,0.5595887765527409,0.9973262032085561,0.9866310160427807
1024,0.4,0.5419504489490693,0.9946524064171123,0.9893048128342246
1024,0.5,0.5280172652739255,0.9946524064171123,0.9919786096256684
