key,ttr,gulpease,flesch_vacca,lexical_density
prompt__full__granite3.1-moe:1b,72.18045112781954,44.338345864661655,27.931077694235587,56.390977443609025
prompt__full__granite3.1-moe:1b,31.703703703703706,54.022222222222226,39.01898148148146,56.888888888888886
prompt__full__granite3.1-moe:1b,51.5625,61.03125,46.37366071428569,57.36607142857143
prompt__full__granite3.1-moe:1b,48.13084112149533,56.757009345794394,37.95367156208275,57.009345794392516
prompt__full__granite3.1-moe:1b,55.013550135501355,54.609756097560975,43.31175734834271,57.72357723577236
prompt__full__granite3.1-moe:1b,73.71428571428571,43.05714285714286,16.27857142857144,55.42857142857143
prompt__full__granite3.1-moe:1b,61.98830409356725,61.368421052631575,51.431913116123646,55.55555555555556
prompt__full__granite3.1-moe:1b,54.92537313432836,56.25373134328358,43.219458264234405,56.4179104477612
prompt__full__granite3.1-moe:1b,46.77804295942721,51.74463007159905,42.02042959427207,51.07398568019092
prompt__full__granite3.1-moe:1b,45.46583850931677,56.91304347826087,45.72239183071899,55.52795031055901
prompt__full__granite3.1-moe:1b,56.774193548387096,57.64516129032258,46.25317693059628,56.774193548387096
prompt__full__granite3.1-moe:1b,14.867256637168142,63.11209439528024,42.252720984640405,59.29203539823009
prompt__full__granite3.1-moe:1b,10.508701472556895,51.208835341365464,40.899631044503195,54.41767068273092
prompt__full__granite3.1-moe:1b,63.970588235294116,59.66176470588235,43.876225490196056,55.88235294117647
prompt__full__granite3.1-moe:1b,59.947643979057595,53.58115183246073,35.26214118071853,60.994764397905755
prompt__full__granite3.1-moe:1b,56.375838926174495,60.40939597315436,46.65255549819306,60.40268456375839
prompt__full__granite3.1-moe:1b,80.0,57.086956521739125,37.934782608695656,53.91304347826087
prompt__full__granite3.1-moe:1b,52.0,59.95238095238095,41.677406281661604,59.04761904761905
prompt__full__granite3.1-moe:1b,31.093749999999996,58.71875,48.153245192307665,56.25
prompt__full__granite3.1-moe:1b,58.38150289017341,62.699421965317924,45.78971798913993,58.67052023121387
prompt__full__granite3.1-moe:1b,77.77777777777779,45.91358024691358,26.861111111111086,65.4320987654321
