key,ttr,gulpease,flesch_vacca,lexical_density
vector_rerank__smollm2-1.7b__mxbai,82.92682926829268,49.0,39.94715447154469,57.3170731707317
vector_rerank__smollm2-1.7b__mxbai,79.64601769911505,49.530973451327434,37.03392330383484,59.29203539823009
vector_rerank__smollm2-1.7b__mxbai,78.84615384615384,41.30769230769231,27.5,63.46153846153846
vector_rerank__smollm2-1.7b__mxbai,82.17821782178217,49.396039603960396,41.09653465346534,55.44554455445545
vector_rerank__smollm2-1.7b__mxbai,3.068420049552125,40.96493234229083,16.061927904380752,57.17552887364208
vector_rerank__smollm2-1.7b__mxbai,6.1157796451914095,53.51914098972922,47.80392156862746,56.06909430438842
vector_rerank__smollm2-1.7b__mxbai,95.83333333333334,49.416666666666664,35.75,60.416666666666664
vector_rerank__smollm2-1.7b__mxbai,47.980997624703086,46.60095011876484,35.77797224653082,59.38242280285036
vector_rerank__smollm2-1.7b__mxbai,69.93006993006993,40.46853146853147,17.068181818181813,54.54545454545454
vector_rerank__smollm2-1.7b__mxbai,52.13675213675214,43.23076923076923,28.888888888888857,55.98290598290598
vector_rerank__smollm2-1.7b__mxbai,88.37209302325581,67.13953488372093,78.29457364341086,55.81395348837209
vector_rerank__smollm2-1.7b__mxbai,66.37554585152839,44.414847161572055,28.415817564289156,58.515283842794766
vector_rerank__smollm2-1.7b__mxbai,75.20661157024794,46.107438016528924,31.92396694214877,60.33057851239669
vector_rerank__smollm2-1.7b__mxbai,64.42307692307693,49.19230769230769,40.825,58.17307692307693
vector_rerank__smollm2-1.7b__mxbai,94.23076923076923,45.92307692307692,28.666666666666668,61.53846153846154
vector_rerank__smollm2-1.7b__mxbai,19.736842105263158,46.56578947368421,32.86312764670295,60.74561403508771
vector_rerank__smollm2-1.7b__mxbai,61.42131979695431,41.233502538071065,20.359771573604064,59.89847715736041
vector_rerank__smollm2-1.7b__mxbai,70.53571428571429,45.69642857142857,24.833333333333332,59.82142857142857
vector_rerank__smollm2-1.7b__mxbai,82.1917808219178,44.61643835616438,31.18721461187216,54.794520547945204
vector_rerank__smollm2-1.7b__mxbai,90.69767441860465,55.27906976744186,42.015503875968996,72.09302325581395
vector_rerank__smollm2-1.7b__mxbai,59.217877094972074,55.25698324022346,53.8897383122611,56.424581005586596
